action, angle, velocity, Q
Off, 7, 3, 0
Off, 7, 4, 0
Off, 7, 5, 0
Off, 7, 6, 0
Off, 7, 7, 0
Off, 7, 8, 0
Off, 7, 9, 0
Off, 7, 10, 0
Off, 7, 11, 0
Off, 7, 12, 0
Off, 7, 13, 0
Off, 7, 14, 0
Off, 7, 15, 0
Off, 7, 16, 0
Off, 7, 17, 0
Off, 7, 18, 0
Off, 7, 19, 0
Off, 7, 20, 0
Off, 7, 21, -31.595
Off, 7, 22, -29.2405
Off, 7, 23, 0
Off, 7, 24, 0
Off, 7, 25, -23.6844
Off, 7, 26, -22.1733
Off, 7, 27, -19.7954
Off, 7, 28, 0
Off, 7, 29, -17.469
Off, 7, 30, -15.6234
Off, 7, 31, -12.9836
Off, 7, 32, 0
Off, 7, 33, -11.1628
Off, 7, 34, -9.83022
Off, 7, 35, -14.5685
Off, 7, 36, -12.9058
Off, 7, 37, -6.02172
Off, 7, 38, -5.3224
Off, 7, 39, -4.17631
Off, 7, 40, -3.46932
Off, 7, 41, 0
Off, 7, 42, -2.1276
Off, 7, 43, 0
Off, 7, 44, -1.51268
Off, 7, 45, -1.13256
Off, 7, 46, -0.772001
Off, 7, 47, -0.327279
Off, 7, 48, 0
Off, 7, 49, -0.196133
Off, 7, 50, -0.30534
Off, 7, 51, 0
Off, 7, 52, -0.502837
Off, 7, 53, -0.889535
Off, 7, 54, 0
Off, 7, 55, -1.52833
Off, 7, 56, -2.22913
Off, 7, 57, -2.31808
Off, 7, 58, -3.48226
Off, 7, 59, -4.36311
Off, 7, 60, -5.15201
Off, 7, 61, -5.95844
Off, 7, 62, -6.21456
Off, 7, 63, -7.337
Off, 7, 64, -8.83737
Off, 7, 65, -9.90871
Off, 7, 66, 0
Off, 7, 67, -12.1967
Off, 7, 68, -13.8056
Off, 7, 69, 0
Off, 7, 70, -17.6757
Off, 7, 71, -18.5945
Off, 7, 72, -20.6774
Off, 7, 73, -23.0373
Off, 7, 74, 0
Off, 7, 75, 0
Off, 7, 76, 0
Off, 7, 77, 0
Off, 7, 78, 0
Off, 7, 79, 0
Off, 7, 80, 0
Off, 7, 81, 0
Off, 7, 82, 0
Off, 7, 83, 0
Off, 7, 84, 0
Off, 7, 85, 0
Off, 7, 86, 0
Off, 7, 87, 0
Off, 7, 88, 0
Off, 7, 89, 0
Off, 7, 90, 0
Off, 7, 91, 0
Off, 7, 92, 0
